Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
Holy Ghost Ukrainian Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55066,315 Fourth Street,West Easton,PA 18042 US,Archeparchy of Philadelphia,http://www.holyghost-ukrainian-catholic.org,,,,,,,,,N,1
Holy Cross Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54775,7100 West Ridge Road,Fairview,PA 16415 US,Diocese of Erie,http://www.holycrossfairview.org/,,,,,,,,,N,1
Mary Mother of the Redeemer,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=17835,1325 Upper State Rd,North Wales,PA 19454 US,Archdiocese of Philadelphia,http://www.mmredeemer.org,,,,,,,,,N,3
St. Rose of Lima Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=999,424 S. Main Street,North Wales,PA 19454 US,Archdiocese of Philadelphia,http://www.srol.org,,,,,,,,,N,N
Holy Cross,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189745,4672 Rasselas Rd.,Wilcox,PA 15870 US,None,http://www.goholycross.com/ViewArticle.dbml?DB_OEM_ID=33100&ATCLID=210220319,,,,,,,,,N,N
St. Anne Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54621,75 Buchanan St,Wilcox,PA 15870 US,Diocese of Erie,https://catholicmasstime.org/church/st-anne/10188/,,,,,,,,,N,N
SS Peter and Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55124,119 Berwick St.,Beaver Meadows,PA 18216 US,Byzantine Catholic Eparchy of Passaic,https://discovermass.com/church/st-peter-and-st-paul-byzantine-beaver-meadows-pa/,,,,,,,,,N,N
Christ the King,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54553,125 Park Road,Leechburg,PA 15656 US,Diocese of Greensburg,http://www.ctkleechburg.org,,,,,,,,,N,1
Seven Sorrows of the Blessed Virgin Mary Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=8113,280 N. Race St.,Middletown,PA 17057-2245 US,Diocese of Harrisburg,http://ssbvm.org,,,,,,,,,N,N
St. James Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55404,8320 Brookside Rd,Elkins Park,PA 19027 US,Archeparchy of Philadelphia,http://www.stjamesparish.net/,,,,,,,,,Y,N
St. George Maronite Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54475,6 Lebanon Terrace,Uniontown,PA 15401 US,Eparchy of Saint Maron,http://www.stgeorgemaronite.com,,,,,,,,,N,N
