Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
St. Joseph Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54842,628 West First Street,Williamsburg,PA 16693 US,Diocese of Altoona - Johnstown,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54842,,,,,,,,,N,N
St. Eusebius,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54696,301 East Second St,East Brady,PA 16028 US,Diocese of Erie,https://www.parishesonline.com/find/st-eusebius-catholic-church,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54695,915 State St.,Rt. 68,East Brady,PA 16028 US,Diocese of Greensburg,,,,,,,,,N,N
St. Richard Mission Rimersburg,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189748,301 E. Second St,East Brady,PA 16028 US,None,https://www.mapquest.com/us/pennsylvania/saint-richard-mission-rimersburg-371840641,,,,,,,,,N,N
St. Titus Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54763,513 W Main St,Titusville,PA 16354 US,Diocese of Erie,http://www.sainttitus.com/,,,,,,,,,N,N
St. Walburga Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54764,120 Brook St,Titusville,PA 16354 US,Diocese of Erie,https://www.parishesonline.com/find/st-walburga,,,,,,,,,N,N
St. James Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55199,361 Great Bend Turnpike,Pleasant Mount,PA 18453 US,Diocese of Scranton,https://discovermass.com/church/st-james-pleasant-mount-pa/,,,,,,,,,N,N
Blessed Teresa of Calcutta Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55001,614 W Mahanoy Ave,Mahanoy City,PA 17948 US,Diocese of Allentown,https://www.parishesonline.com/find/blessed-teresa-of-calcutta-church-17948,,,,,,,,,N,N
Sacred Heart Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55005,1335 E Pine St,Mahanoy City,PA 17948 US,Diocese of Allentown,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55005,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55006,621 West Mahanoy Ave,Mahanoy City,PA 17948 US,Byzantine Catholic Eparchy of Passaic,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55006,,,,,,,,,N,N
St. Nicholas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55032,438 W Pine St,Mahanoy City,PA 17948 US,Archeparchy of Philadelphia,https://www.parishesonline.com/find/st-nicholas-church-17948,,,,,,,,,N,N
Good Shepherd,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189741'," ""867 Gray's Woods Blvd""",Port Matilda,PA 16870 US,Diocese of Altoona - Johnstown,http://goodshepherd-sc.org,,,,,,,,,N,N
Good Shepherd Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54852'," ""867 Gray's Woods Blvd""",Port Matilda,PA 16870 US,Diocese of Altoona - Johnstown,http://www.goodshepherd-sc.org,,,,,,,,,N,N
Immaculate Conception Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55666,905 Chestnut Street,Douglassville,PA 19518 US,Diocese of Allentown,http://www.icbvm.org,,,,,,,,,N,N
St. Patrick's Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=70403,4th & E. High Sts.,Milford,PA 18337 US,Diocese of Scranton,http://www.saintpatricksmilford.com,,,,,,,,,N,N
St. Vincent de Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55161,101 St Vincent Dr,Milford,PA 18337 US,Diocese of Scranton,http://www.saintvincents.net/,,,,,,,,,N,N
St. Hippolyte Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54755,26012 N. Frenchtown Rd.,Guys Mills,PA 16327 US,Diocese of Erie,http://www.sainthippolytechurch.com,,,,,,,,,N,N
Our Lady Queen of Peace Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55157,PO Box 38,Brodheadsville,PA 18322 US,Diocese of Scranton,http://www.qopchurch.org,,,,,,,,,N,N
St. Bernard Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54894,811 Shermans Valley Road,New Bloomfield,PA 17068 US,Diocese of Harrisburg,http://stbernardsnbpa.org/,,,,,,,,,N,10
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55399,500 Woodlawn Ave,Collingdale,PA 19023 US,Archeparchy of Philadelphia,https://www.saintjoseph-collingdale.com/,,,,,,,,,N,N
Confraternity of Catholic Clergy,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=215082,121 William St,Marysville,PA 1753 US,None,http://www.catholic-clergy.org,,,,,,,,,N,N
Our Lady of Good Counsel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54885,121 William St,Marysville,PA 17053 US,Diocese of Harrisburg,http://www.olgcsb.org,,,,,,,,,N,N
Sacred Heart Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54927,152 N Main St,Spring Grove,PA 17362 US,Diocese of Harrisburg,http://www.sacredheartsg.org,,,,,,,,,N,N
Immaculate Conception Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55283,605 Luzerne Ave,West Pittston,PA 18643 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55283,,,,,,,,,N,N
Holy Angels Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54967,855 Scott St,Kulpmont,PA 17834 US,Diocese of Harrisburg,https://holyangelskulpmont.org/,,,,,,,,,N,1
Ascension of Our Lord Byzantine Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54269,318 Park Ave,Clairton,PA 15025 US,Diocese of Pittsburgh,http://ascensionofourlord.vzwebsites.com,,,,,,,,,N,N
St. Clare of Assisi Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54270,460 Reed Street,Clairton,PA 15025 US,Diocese of Pittsburgh,https://www.stclareofassisiparish.com/,,,,,,,,,N,N
St. Margaret Mary Alacoque Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55405,500 Wanamaker Ave.,Essington,PA 19029 US,Archdiocese of Philadelphia,https://www.parishesonline.com/find/st-margaret-mary-alacoque-church-19029,,,,,,,,,N,N
St. Mary Our Lady of Perpetual,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189707,110 Main Street,Mocanaqua,PA 18655 US,None,http://www.gcatholic.org/churches/usa-03/24007.htm,,,,,,,,,N,N
St. Rose of Lima Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55397,Chester Pike and Simpson St.,Eddystone,PA 19022 US,Archdiocese of Philadelphia,http://stroseoflimaparish.net/,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54660,1020 Caroline St,Nanty Glo,PA 15943 US,Diocese of Altoona - Johnstown,http://www.webparish.com/aj/Mary-NantyGlo/,,,,,,,,,N,1
St. Nicholas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54661,1191 Second Street,Nanty Glo,PA 15943 US,Archeparchy of Pittsburgh,http://www.archpitt.org/place/nantyglopa/,,,,,,,,,N,N
Holy Family Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55331,828 Main St,Sugar Notch,PA 18706 US,Diocese of Scranton,http://www.holyfamilysugarnotch.com/,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55611,104 Channing Ave,Malvern,PA 19355 US,Archeparchy of Philadelphia,http://www.stpatrickmalvern.org,,,,,,,,,N,N
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55077,5050 St Joseph Rd,Limeport,PA 18060 US,Diocese of Allentown,http://stjoescoopersburg.org,,,,,,,,,N,N
Assumption of The Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54619,20 Shafer St,Sykesville,PA 15865 US,Diocese of Erie,http://www.stmarysassumption.com/,,,,,,,,,N,1
Holy Trinity Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54620,104 Shaffer Street,Sykesville,PA 15865 US,Diocese of Pittsburgh,http://www.archpitt.org/place/sykesvillepa/,,,,,,,,,N,N
Our Lady of Victory Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55166,327 Cherry Lane Road,Tannersville,PA 18372 US,Diocese of Scranton,http://www.olvchurch.com,,,,,,,,,N,N
St. Gregory Thaumaturgus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54781,48 S Pearl,North East,PA 16428 US,Diocese of Erie,http://www.stgregoryparish.info/,,,,,,,,,N,N
Nativity of The Mother of God,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54605,200 McCullough Street,DuBois,PA 15801 US,Archeparchy of Pittsburgh,http://www.archpitt.org/place/duboispa/,,,,,,,,,N,N
St. Catherine of Siena Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54603,116 S State St,DuBois,PA 15801 US,Diocese of Erie,http://www.saintcatherinedubois.com,,,,,,,,,N,N
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54604,301 South State St.,DuBois,PA 15801 US,Diocese of Erie,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54604,,,,,,,,,N,N
St. Michael Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54602,15 Robinson St,DuBois,PA 15801 US,Diocese of Erie,http://stmikestjoe.com,,,,,,,,,N,N
St. Bernadette Mission,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189753,222 Renner Lane,Saegertown,PA 16433 US,St. Anthony of Padua,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189753,,,,,,,,,N,N
St. Thomas More Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54840,825 Williams St,Roaring Spring,PA 16673 US,Diocese of Altoona - Johnstown,https://www.parishesonline.com/find/st-thomas-more-church-16673,,,,,,,,,N,N
St. Adalbert Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55251,43 W. Main Street,Glen Lyon,PA 18617 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55251,,,,,,,,,N,N
St. Nicholas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55250,153 Main St,Glen Lyon,PA 18617 US,Archeparchy of Philadelphia,https://discovermass.com/church/st-nicholas-ukrainian-glen-lyon-pa/,,,,,,,,,N,N
Cathedral of St John Gualbert,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54643,117 Clinton St,Johnstown,PA 15901 US,Diocese of Altoona - Johnstown,https://www.stjohngualbert.org/,,,,,,,,,N,N
Our Mother of Sorrows Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54629,407 Tioga St,Johnstown,PA 15905 US,Diocese of Altoona - Johnstown,http://www.omostoday.com,,,,,,,,,N,N
Resurrection,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189692,324 Chestnut St.,Johnstown,PA 15906 US,Diocese of Altoona - Johnstown,http://resurrectionparishjohnstown.com/contact%20info.html,,,,,,,,,N,N
St. Andrew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54630,1621 Ferndale Ave,Johnstown,PA 15905 US,Diocese of Altoona - Johnstown,http://www.standrewschurch.com,,,,,,,,,N,N
St. Anne,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189693,533 Woodland Ave,Johnstown,PA 15902 US,None,https://catholicmasstime.org/church/st-anne/6855/,,,,,,,,,N,N
St. Benedict Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54628,2310 Bedford Street,Johnstown,PA 15904 US,Diocese of Altoona - Johnstown,http://www.stbenedictchurch.org/,,,,,,,,,N,1
St. Clare of Assisi Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54623,124 Maple Ave,Johnstown,PA 15901 US,Diocese of Altoona - Johnstown,https://discovermass.com/church/st-clare-of-assisi-johnstown-pa/,,,,,,,,,N,N
St. Clement Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54631,114 Lindberg Ave,Johnstown,PA 15905 US,Diocese of Altoona - Johnstown,http://www.StClementJohnstown.org,,,,,,,,,N,N
St. Francis of Assisi Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54634,120 Barron Ave,Johnstown,PA 15906 US,Diocese of Altoona - Johnstown,http://www.stfrancisofassisijohnstown.com/,,,,,,,,,N,N
St. Gregory - Barnabas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54627,120 Boltz St,Johnstown,PA 15902 US,Diocese of Altoona - Johnstown,http://www.gregbar.org/,,,,,,,,,N,N
St. John the Baptist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54624,606 Maple Ave,Johnstown,PA 15901 US,Eparchy of St. Josaphat of Parma,http://www.sjbjohnstown.org/,,,,,,,,,N,N
St. John Vianney Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54644,3513 William Penn Ave,Johnstown,PA 15909 US,Diocese of Altoona - Johnstown,http://www.sjvcc.com/,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54642,411 Power Street,Johnstown,PA 15906 US,Archeparchy of Pittsburgh,http://www.archpitt.org/place/johnstownpa-2/,,,,,,,,,N,N
St. Michael Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54641,180 Gilbert St,Johnstown,PA 15906 US,Diocese of Altoona - Johnstown,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54641,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54626,609 Park Ave,Johnstown,PA 15902 US,Diocese of Altoona - Johnstown,http://www.saintpatrickjohnstown.org,,,,,,,,,N,N
St. Therese of The Child Jesus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54640,536 Decker Ave,Johnstown,PA 15906 US,Diocese of Altoona - Johnstown,https://discovermass.com/church/st-therese-of-the-child-jesus-johnstown-pa/,,,,,,,,,N,N
Visitation of The Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54632,1127 McKinley Ave,Johnstown,PA 15905 US,Diocese of Altoona - Johnstown,http://www.gcatholic.org/churches/usa-03/23855.htm,,,,,,,,,N,N
SS Peter & Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54860,400 S Fourth St,Philipsburg,PA 16866 US,Diocese of Altoona - Johnstown,https://www.ssppkiel.org/,,,,,,,,,Y,1
Church of St. Patrick,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55192,100 Main Street,Nicholson,PA 18446 US,Diocese of Scranton,https://spolachurch.weebly.com/,,,,,,,,,N,1
Holy Redeemer Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54766,11 Russell St,Warren,PA 16365 US,Diocese of Erie,https://www.parishesonline.com/find/holy-redeemer-church-16365,,,,,,,,,N,N
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54765,600 Pennsylvania Ave,Warren,PA 16365 US,Diocese of Erie,http://stjosephwarrenpa.org,,,,,,,,,Y,1
Our Lady of Fatima Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55393,Street Rd and Mechanicsville St,Bensalem,PA 19020 US,Archeparchy of Philadelphia,http://archphila.org/parishes/7295.php,,,,,,,,,N,N
St. Charles Borromeo Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55394,Bristol Pk & Hulmeville Rd,Bensalem,PA 19020 US,Archeparchy of Philadelphia,http://stcharles-bensalem.e-paluch.com/,,,,,,,,,N,N
St. Elizabeth Ann Seton Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55392,Park Ave East,Bensalem,PA 19020 US,Archeparchy of Philadelphia,http://www.saintelizabethannseton.org,,,,,,,,,N,N
St. Ephram Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55395,5340 Hulmeville Rd,Bensalem,PA 19020 US,Archeparchy of Philadelphia,http://www.stephrem.com/,,,,,,,,,N,N
St. Katharine Drexel,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=165738,1663 Bristol Pike,Bensalem,PA 19020 US,Archeparchy of Philadelphia,http://www.katharinedrexel.org/,,,,,,,,,N,N
St. Matthias Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54697,417 E Main St.,Evans City,PA 16033 US,Diocese of Pittsburgh,http://www.stmatthias-ec.org,,,,,,,,,N,N
Church of The Resurrection Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54585,349 Morris St,Clymer,PA 15728 US,Diocese of Greensburg,http://churchresurrection.org/,,,,,,,,,N,1
St. Anne,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189651,360 Franklin St.,Clymer,PA 15728 US,None,http://www.archeparchy.org/page/directories/parishes/clymer.htm,,,,,,,,,N,N
St. Damien of Molokai Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54292,722 West Main Street,Monongahela,PA 15063 US,Diocese of Pittsburgh,http://www.stdamienofmolokai.org/,,,,,,,,,N,N
Seven Dolors Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54510,2174 Beans Cove Road,Clearville,PA 15535 US,Diocese of Altoona - Johnstown,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54510,,,,,,,,,N,N
Nativity B.V.M Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54561,Shersburg Rd,New Alexandria,PA 15670 US,Eparchy of St. Josaphat of Parma,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54561,,,,,,,,,N,N
St. James Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54562,306 Saint James Lane,New Alexandria,PA 15670 US,Diocese of Greensburg,http://www.stjamesnewalexandria.org/,,,,,,,,,N,1
Immaculate Conception Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189696,2151 Vulcan Rd,Madera,PA 16661 US,Diocese of Erie,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189696,,,,,,,,,N,N
St. Mary/Our Lady of Perpetual Help Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55292,150 Main St,Shickshinny,PA 18655 US,Diocese of Scranton,http://www.holychildparish.com/,,,,,,,,,N,2
St. Malachy Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55605,76 St Malachy Rd,Cochranville,PA 19330 US,Archeparchy of Philadelphia,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55605,,,,,,,,,N,N
Our Lady of Victory Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55253,Lakeside Drive,Harveys Lake,PA 18618 US,Diocese of Scranton,https://www.marianchurches.org/,,,,,,,,,N,N
St. Veronica Mission,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189718,Shiney Mountain Road off of Rte. 507,Lake Wallenpaupack,PA 18451 US,St. Ann Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189718,,,,,,,,,N,N
Epiphany of Our Lord Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55619,Walton Rd and Township Line,Norristown,PA 19401 US,Archeparchy of Philadelphia,http://www.holysaviour.com,,,,,,,,,N,N
Holy Savior Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55621,409 E Main St,Norristown,PA 19401 US,Archeparchy of Philadelphia,http://www.holysaviour.com,,,,,,,,,N,N
St. Francis of Assisi Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=70681,600 Hamilton Street,Norristown,PA 19401 US,Archdiocese of Philadelphia,http://www.stfrancisnorristown.com/,,,,,,,,,Y,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55622,DeKalb and Chestnut Sts,Norristown,PA 19401 US,Archeparchy of Philadelphia,https://saintpatrick-norristown.net/,,,,,,,,,N,N
St. Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55623,2007 New Hope St.,Norristown,PA 19401 US,Archeparchy of Philadelphia,https://stpaulcatholicchurcheastnorriton.net/,,,,,,,,,N,N
St. Teresa of Avila Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=74687,1260 S. Trooper Rd.,Norristown,PA 19403 US,Archdiocese of Philadelphia,http://www.stteresaofavilaparish.com,,,,,,,,,N,N
St. Titus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55625,3006 Keenwood Rd,Norristown,PA 19403 US,Archeparchy of Philadelphia,Http://www.sttitus.org,,,,,,,,,N,3
Visitation Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55624,196 North Trooper Road,Norristown,PA 19403 US,Archdiocese of Philadelphia,http://www.visitationbvm.org,,,,,,,,,N,N
St. Agnes Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55359,445 N Main St,Sellersville,PA 18960 US,Archeparchy of Philadelphia,http://www.stagneschurch.org,,,,,,,,,N,N
Queen of the Rosary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54282,530 Michigan Avenue,Glassport,PA 15045 US,Diocese of Pittsburgh,http://queenoftherosaryparish.homestead.com/,,,,,,,,,N,N
St. Mary of The Assumption Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54856'," ""64 St. Mary's Lane""",Frenchville,PA 16836 US,Diocese of Erie,https://www.eriercd.org/Parish20709-St-Mary-of-the-Assumption.html,,,,,,,,,N,N
All Saints Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=74062,19 Wilson Street,Pittsburgh,PA 15223 US,Diocese of Pittsburgh,http://www.allsaintsetna.org,,,,,,,,,N,N
Archeparchy of Pittsburgh,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=75660,66 Riverview Avenue,Pittsburgh,PA 15214 US,None,http://diopitt.org/,,,,,,,,,N,N
Ascension Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=17890,114 Berry Street,Pittsburgh,PA 15205 US,Diocese of Pittsburgh,https://discovermass.com/church/ascension-roman-catholic-church-pittsburgh-pa/,,,,,,,,,N,N
Assumption of The Blessed Virgin Mary on the River Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54370,45 N Sprague Ave,Pittsburgh,PA 15202 US,Diocese of Pittsburgh,http://assumptionchurch.org/,,,,,,,,,N,N
Cali Orphanage Fund,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=71145,Duquesne University,Pittsburgh,PA 15282 US,None,https://www.mcmurrayrotary.com/sitepage/club-service-projects/cali-orphanage,,,,,,,,,N,N
Come to Me all of you,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214741,1302 Glarius,Pittsburgh,PA 15202 US,None,,,,,,,,,,N,N
Diocese of Pittsburgh,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=17567,111 Blvd of the Allies,Pittsburgh,PA 15222 US,None,http://www.diopitt.org/,,,,,,,,,N,N
Duquesne University of the Holy Ghost,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189730,McAnulty Drive and Bluff Street,Pittsburgh,PA 15282 US,None,http://www.duq.edu/campus-ministry/masstimes.cfm,,,,,,,,,N,N
Epiphany Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54410,1018 Centre Ave,Pittsburgh,PA 15219 US,Diocese of Pittsburgh,http://www.epiphanychurch.net/,,,,,,,,,N,1
Good Shepherd Parish - Sacred Heart Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54416,1600 Brinton Rd,Pittsburgh,PA 15221 US,Diocese of Pittsburgh,http://www.goodshepherdbraddock.org/,,,,,,,,,N,1
Guardian Angel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54414,1030 Logue St,Pittsburgh,PA 15220 US,Diocese of Pittsburgh,https://diopitt.org/guardian-angels-west-end,,,,,,,,,N,N
Holy Angels Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54376,408 Baldwin Road,Pittsburgh,PA 15207 US,Diocese of Pittsburgh,http://www.holyangelshays.org/,,,,,,,,,N,N
Holy Ghost Byzantine Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54394,1437 Superior Ave,Pittsburgh,PA 15212 US,Archeparchy of Pittsburgh,http://www.hgbyzcath.net23.net/,,,,,,,,,N,N
Holy Innocents Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54374,3011 Landis St,Pittsburgh,PA 15204 US,Diocese of Pittsburgh,https://diopitt.org/holy-innocents-sheraden,,,,,,,,,N,N
Holy Spirit Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54396,4815 Fifth Ave,Pittsburgh,PA 15213 US,Diocese of Pittsburgh,http://www.holyspiritmillvale.org/,,,,,,,,,N,1
